,0
0,-0.015009655064964123
1,-0.01679531427974844
2,-0.01413962236323474
3,-0.015007022698166676
4,-0.017622166660924678
5,-0.013145413589554506
6,-0.012720043207831138
7,-0.01717675554085132
8,-0.018569994485593277
9,-0.016884872384218576
10,-0.01691744889073152
11,-0.01298030790860918
12,-0.009276772918057875
13,-0.014271625377058004
14,-0.019126504213869328
15,-0.018365548638504738
16,-0.012776749369066195
17,-0.009591673068829566
18,-0.011961064195385444
19,-0.013413759704808449
20,-0.010755574542568973
21,-0.007345226308651286
22,-0.009709293705710272
23,-0.01542914597474182
24,-0.014847938872117637
25,-0.01860041134519093
26,-0.020010942473176974
27,-0.02062990101240504
28,-0.019804452448380788
29,-0.018021013318929534
30,-0.017061702738312236
31,-0.011341104677883402
32,-0.011276775704787283
33,-0.014256816752024998
34,-0.012400666816668023
35,-0.01142679896662284
36,-0.013750253888544074
37,-0.01814394576689423
38,-0.018562315557749554
39,-0.018526476849337555
40,-0.0137658592043527
41,-0.015822226810049137
42,-0.0195814522087023
43,-0.018692788040621532
44,-0.016063257655248304
45,-0.015471487791560963
46,-0.020751672926775017
47,-0.02067848906728532
48,-0.019673412036718033
49,-0.02098512699809365
50,-0.014916061080380181
51,-0.01764312004049081
52,-0.020736098860437945
53,-0.022312620254061173
54,-0.021446030046276366
55,-0.014415278570987467
56,-0.016008894434752948
57,-0.016332552891277004
58,-0.01698805091952442
59,-0.020239796046984216
60,-0.016102659706519643
61,-0.01943007685952237
62,-0.015285905095484248
63,-0.01009672563073038
64,-0.01133234909419813
65,-0.008384121017542458
66,-0.005791025831603118
67,-0.00650742087267716
68,-0.011268788185106734
69,-0.01888802455927661
70,-0.019888503126902796
71,-0.01605330400647356
72,-0.010878246195220957
73,-0.010646277663833328
74,-0.009855176056042513
75,-0.015274252603689179
76,-0.012395401082700472
77,-0.017017831142179588
78,-0.01596948953878746
79,-0.018921080012252556
80,-0.020512432978184714
81,-0.018012433662041145
82,-0.009675036856136104
83,-0.009006730028286445
84,-0.01758829789848966
85,-0.022367927629290584
86,-0.024561142959563277
87,-0.024178878934309974
88,-0.024009128311012633
89,-0.016479060339923104
90,-0.013833309762211197
91,-0.01899648530854158
92,-0.019574423268155144
93,-0.020201157881927955
94,-0.014123490811692695
95,-0.010446715884503268
96,-0.008728167441000283
97,-0.014663996722679228
98,-0.017204999864634064
99,-0.017786653660163677
100,-0.01661799620848557
101,-0.02122137548949165
102,-0.022295126191284532
103,-0.019808737099528673
104,-0.021665310031407876
105,-0.02179951652717013
106,-0.01818723543087336
107,-0.01954815282566838
108,-0.012813913470027848
109,-0.009976458407548782
110,-0.010376583542785237
111,-0.014489683115762167
112,-0.01721900149794325
113,-0.017647394571721268
114,-0.013848196056595362
115,-0.020622963686433553
116,-0.02135096925040438
117,-0.0172114271595259
118,-0.012027212348588391
119,-0.009000777849546894
120,-0.007422544718586413
121,-0.009933155269939471
122,-0.019257371930245796
123,-0.020879760159875433
124,-0.0159019888373465
125,-0.02169870022919258
126,-0.02147309359739188
127,-0.017016233634188315
128,-0.0128243180882022
129,-0.013583001513828491
130,-0.015717826411631487
131,-0.014052713806596524
132,-0.01291721360604397
133,-0.014259540791519223
134,-0.018183555173461367
135,-0.021705884448532737
136,-0.020161915518355816
137,-0.020328002076389053
138,-0.01919289888952137
139,-0.01741661429597322
140,-0.01352564886587027
141,-0.01473515953422883
142,-0.014563388848855796
143,-0.015372482093481637
144,-0.011087131310943375
145,-0.014929161911216878
146,-0.012092286931046019
147,-0.009167157837568746
148,-0.013504407057124869
149,-0.019021394538775386
150,-0.018910300655521965
151,-0.019689862154382155
152,-0.015243545498617832
153,-0.012365202551826961
154,-0.013077021653844507
155,-0.011779487794162703
156,-0.009181048981244479
157,-0.007918382583950515
158,-0.00662643815514162
159,-0.0066566343896903605
160,-0.006813869462581902
161,-0.007953400566036613
162,-0.012026169195411161
163,-0.01651750840036789
164,-0.011531295532338122
165,-0.01715734123404121
166,-0.01362572726634249
167,-0.009735549548560301
168,-0.009316223172440253
169,-0.007862289220737733
170,-0.009041159137295975
171,-0.012787841185062281
172,-0.009120803735532826
173,-0.009978170236013233
174,-0.007852995520709382
175,-0.012964633569064424
176,-0.01239054806996684
177,-0.009768738523772939
178,-0.01375274224758872
179,-0.012719436200575309
180,-0.014177005683289143
181,-0.007920235297939466
182,-0.008520818012519102
183,-0.014279144569015963
184,-0.015832500018771768
185,-0.01707720600446712
186,-0.012459192742076826
187,-0.015969004531097834
188,-0.011342391136040745
189,-0.014679616365900447
190,-0.011370113105317504
191,-0.016992904628571552
192,-0.015278854750615013
193,-0.01693147192279673
194,-0.018204997523495497
195,-0.009982073484656963
196,-0.013564500991792466
197,-0.01697229867796543
198,-0.014283689720601355
199,-0.010372116644919558
200,-0.011626717606334517
201,-0.016867981174860658
202,-0.020228685632146245
203,-0.019825587193802653
204,-0.018167097297305704
205,-0.018697696170893233
206,-0.02082293789659715
207,-0.019644728774532265
208,-0.01571452859485421
209,-0.014644494237049622
210,-0.01846294495260766
211,-0.02086645884899167
212,-0.020321359032696343
213,-0.01637443344023316
214,-0.01710214974927939
215,-0.01726812095146483
216,-0.01940040541248635
217,-0.014924780255986574
218,-0.014506794298263072
219,-0.0197991790682435
220,-0.020854794715223453
221,-0.016063691685845836
222,-0.015154151261067087
223,-0.017671225715384917
224,-0.019732456454313377
225,-0.010999688527638857
226,-0.009672895868375038
227,-0.01596359730935116
228,-0.016690249825143878
229,-0.014333733224749515
230,-0.009456821252797483
231,-0.0092058187390573
232,-0.013148850246458257
233,-0.014906510001985923
234,-0.017954096465160333
235,-0.019551571240805397
236,-0.01902477701276034
237,-0.012141607783040418
238,-0.01521903352129863
239,-0.016000020775797683
240,-0.012051725267355389
241,-0.015045587075244149
242,-0.010253083353055432
243,-0.013287030301140685
244,-0.017514867981266516
245,-0.01269260220012186
246,-0.012267808523064075
247,-0.012775808171339973
248,-0.011603485488188356
249,-0.007199325357867318
250,-0.0061207458184728124
251,-0.008101271094893291
252,-0.015959111710712435
253,-0.018286754191175203
254,-0.014268380485374111
255,-0.013172092174172968
256,-0.01781719984640195
257,-0.014785649525723784
258,-0.011195764404420725
259,-0.011276456039148341
260,-0.014893599853395972
261,-0.009251940227469056
262,-0.009821338141626404
263,-0.009342300322957374
264,-0.00871014547976762
265,-0.015087704691451126
266,-0.012872245173465214
267,-0.015347150974331529
268,-0.016941298506533392
269,-0.01511050126259047
270,-0.007904603680759565
271,-0.007232814241654085
272,-0.012514832485770747
273,-0.01194646536252819
274,-0.013907057759892007
275,-0.01661723620706862
276,-0.01216103977330418
277,-0.011386841173466809
278,-0.01257543593777643
279,-0.012561116882019977
280,-0.01566368115106968
281,-0.011378734690549291
282,-0.013212209041670728
283,-0.011907857058991604
284,-0.012719129492771935
285,-0.012372747276807008
286,-0.011250804146388755
287,-0.01665485184273401
288,-0.00988010115362616
289,-0.008650573454895245
290,-0.014463432477426784
291,-0.0133766105907111
292,-0.01123182555152626
293,-0.011755720590115508
294,-0.009782583108679709
295,-0.016861470962652437
296,-0.01954338945157115
297,-0.0196481191231809
298,-0.019796268981575268
299,-0.019149851686456176
300,-0.019493765623541978
301,-0.009480194594795004
302,-0.006336191337246281
303,-0.006929423093604564
304,-0.011218434590802339
305,-0.006852991135630783
306,-0.005429523941343841
